Dataset is copied to /tmp
Start Training, use checkpointcheckpoints/tightrope_encoder_ep_49
[8,    30] loss: 5.684
[8,    40] loss: 5.761
[8,    50] loss: 5.775
[8,    60] loss: 5.800
[8,    70] loss: 5.740
[8,    80] loss: 5.774
[8,    90] loss: 5.739
[8,   100] loss: 5.784
[8] Validation loss: 6.281, Accuracy: 1.80%
[9,    10] loss: 5.506
[9,    20] loss: 5.513
[9,    30] loss: 5.571
[9,    40] loss: 5.586
[9,    50] loss: 5.617
[9,    60] loss: 5.626
[9,    70] loss: 5.619
[9,    80] loss: 5.647
[9,    90] loss: 5.642
[9,   100] loss: 5.653
[9] Validation loss: 6.315, Accuracy: 2.07%
[10,    10] loss: 5.330
[10,    20] loss: 5.410
[10,    30] loss: 5.421
[10,    40] loss: 5.407
[10,    50] loss: 5.432
[10,    60] loss: 5.451
[10,    70] loss: 5.466
[10,    80] loss: 5.493
[10,    90] loss: 5.466
[10,   100] loss: 5.489
[10] Validation loss: 6.305, Accuracy: 2.36%
[11,    10] loss: 5.106
[11,    20] loss: 5.163
[11,    30] loss: 5.216
[11,    40] loss: 5.238
[11,    50] loss: 5.234
[11,    60] loss: 5.305
[11,    70] loss: 5.268
[11,    80] loss: 5.295
[11,    90] loss: 5.334
[11,   100] loss: 5.353
[11] Validation loss: 6.402, Accuracy: 2.26%
[12,    10] loss: 4.942
[12,    20] loss: 4.963
[12,    30] loss: 5.014
[12,    40] loss: 5.008
[12,    50] loss: 5.030
[12,    60] loss: 5.086
[12,    70] loss: 5.124
[12,    80] loss: 5.162
[12,    90] loss: 5.140
[12,   100] loss: 5.148
[12] Validation loss: 6.545, Accuracy: 2.39%
[13,    10] loss: 4.715
[13,    20] loss: 4.721
[13,    30] loss: 4.797
[13,    40] loss: 4.906
[13,    50] loss: 4.885
[13,    60] loss: 4.870
[13,    70] loss: 4.877
[13,    80] loss: 4.884
[13,    90] loss: 4.971
[13,   100] loss: 4.951
[13] Validation loss: 6.650, Accuracy: 2.43%
[14,    10] loss: 4.464
[14,    20] loss: 4.474
[14,    30] loss: 4.592
[14,    40] loss: 4.583
[14,    50] loss: 4.592
[14,    60] loss: 4.721
[14,    70] loss: 4.715
[14,    80] loss: 4.722
[14,    90] loss: 4.741
[14,   100] loss: 4.748
[14] Validation loss: 6.898, Accuracy: 2.46%
[15,    10] loss: 4.252
[15,    20] loss: 4.185
[15,    30] loss: 4.284
[15,    40] loss: 4.346
[15,    50] loss: 4.362
[15,    60] loss: 4.423
[15,    70] loss: 4.483
[15,    80] loss: 4.567
[15,    90] loss: 4.539
[15,   100] loss: 4.570
[15] Validation loss: 7.181, Accuracy: 2.35%
[16,    10] loss: 3.908
[16,    20] loss: 4.000
[16,    30] loss: 4.031
[16,    40] loss: 4.104
[16,    50] loss: 4.119
[16,    60] loss: 4.208
[16,    70] loss: 4.239
[16,    80] loss: 4.281
[16,    90] loss: 4.210
[16,   100] loss: 4.275
[16] Validation loss: 7.564, Accuracy: 2.41%
[17,    10] loss: 3.632
[17,    20] loss: 3.697
[17,    30] loss: 3.798
[17,    40] loss: 3.870
[17,    50] loss: 3.969
[17,    60] loss: 3.957
[17,    70] loss: 3.961
[17,    80] loss: 3.959
[17,    90] loss: 3.970
[17,   100] loss: 4.025
[17] Validation loss: 7.755, Accuracy: 2.30%
[18,    10] loss: 3.454
[18,    20] loss: 3.362
[18,    30] loss: 3.527
[18,    40] loss: 3.640
[18,    50] loss: 3.652
[18,    60] loss: 3.707
[18,    70] loss: 3.654
[18,    80] loss: 3.747
[18,    90] loss: 3.831
[18,   100] loss: 3.780
[18] Validation loss: 8.237, Accuracy: 2.29%
[19,    10] loss: 3.142
[19,    20] loss: 3.075
[19,    30] loss: 3.272
[19,    40] loss: 3.324
[19,    50] loss: 3.409
[19,    60] loss: 3.421
[19,    70] loss: 3.439
[19,    80] loss: 3.548
[19,    90] loss: 3.482
[19,   100] loss: 3.614
[19] Validation loss: 8.599, Accuracy: 2.26%
[20,    10] loss: 2.885
[20,    20] loss: 2.877
[20,    30] loss: 3.011
[20,    40] loss: 3.105
[20,    50] loss: 3.144
[20,    60] loss: 3.220
[20,    70] loss: 3.277
[20,    80] loss: 3.385
[20,    90] loss: 3.288
[20,   100] loss: 3.320
[20] Validation loss: 9.417, Accuracy: 2.11%
[21,    10] loss: 2.697
[21,    20] loss: 2.707
[21,    30] loss: 2.806
[21,    40] loss: 2.849
[21,    50] loss: 2.965
[21,    60] loss: 3.008
[21,    70] loss: 2.883
[21,    80] loss: 2.984
[21,    90] loss: 3.048
[21,   100] loss: 3.103
[21] Validation loss: 9.754, Accuracy: 2.09%
